Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
99,Akron 7,MAC,5.93,112.9,107.0,65.5
100,Fresno St. 5,MWC,5.91,104.9,99.0,68.2
101,Stanford,P12,5.82,104.8,99.0,68.2
102,UNC Asheville,BSth,5.75,107.6,101.8,67.9
103,Ohio,MAC,5.68,105.6,99.9,70.2
104,N.C. State,ACC,5.65,112.9,107.2,70.1
105,San Francisco,WCC,5.46,103.3,97.8,68.6
106,Furman,SC,5.31,107.3,102.0,65.4
107,Nebraska,B10,5.16,105.1,99.9,67.9
108,Florida Gulf Coast 14,ASun,5.02,109.6,104.6,65.2
109,Oakland 7,Horz,4.90,103.8,98.9,71.8
110,Saint Peter's,MAAC,4.84,102.6,97.7,60.6
111,Harvard,Ivy,4.84,106.6,101.8,66.8
112,Winthrop 13,BSth,4.63,106.4,101.8,70.9
113,Chattanooga,SC,4.59,106.7,102.1,65.3
114,George Mason,A10,4.58,108.6,104.0,68.4
115,Cal St. Bakersfield 8,WAC,4.53,98.0,93.4,66.2
116,Towson,CAA,4.31,105.4,101.1,67.7
117,Temple,Amer,4.21,108.4,104.2,66.9
118,Iona 14,MAAC,4.00,110.2,106.2,70.4
119,Lehigh,Pat,3.80,107.2,103.4,69.5
120,UNC Greensboro 8,SC,3.62,107.8,104.1,66.4
121,Georgia St.,SB,3.50,104.7,101.2,68.1
122,Old Dominion,CUSA,3.50,100.7,97.2,60.9
123,Arkansas St.,SB,3.29,106.4,103.1,67.1
124,New Mexico,MWC,3.27,106.4,103.1,68.7
125,George Washington,A10,3.18,108.2,105.1,65.5
126,Santa Clara,WCC,3.15,105.5,102.4,62.4
127,Albany,AE,3.12,107.8,104.7,64.0
128,Buffalo,MAC,3.11,105.3,102.2,71.2
129,Toledo,MAC,2.69,108.8,106.1,66.2
130,Troy 15,SB,2.68,109.9,107.2,68.0
131,Arizona St.,P12,2.60,111.9,109.2,69.8
132,William & Mary,CAA,2.37,112.0,109.6,70.8
133,Rutgers,B10,2.29,101.6,99.3,66.1
134,Missouri St.,MVC,2.27,108.3,106.0,65.9
135,Elon,CAA,2.21,104.3,102.1,67.6
136,Utah St.,MWC,2.21,106.8,104.6,66.4
137,La Salle,A10,1.94,110.6,108.7,68.5
138,UC Irvine 8,BW,1.86,101.0,99.1,66.3
139,Wofford,SC,1.78,110.1,108.3,66.6
140,Mercer,SC,1.74,109.7,107.9,61.5
141,Kent St. 14,MAC,1.73,104.4,102.7,68.2
142,Louisiana Lafayette,SB,1.72,111.2,109.5,72.1
143,Tulsa,Amer,1.66,104.5,102.9,68.0
144,South Dakota 8,Sum,1.59,103.8,102.2,70.6
145,Fort Wayne,Sum,1.48,109.5,108.1,71.2
146,Wyoming,MWC,1.34,103.4,102.1,73.4
147,Northern Kentucky 15,Horz,1.34,106.6,105.3,67.7
148,Eastern Michigan,MAC,1.24,106.0,104.8,68.0
149,Southern Illinois,MVC,1.16,104.9,103.7,65.2
150,Marshall,CUSA,1.16,110.8,109.6,77.5
151,Yale,Ivy,1.10,106.1,105.0,67.9
152,Samford,SC,0.99,108.3,107.3,68.6
153,North Carolina Central 16,MEAC,0.96,102.8,101.8,66.3
154,Rice,CUSA,0.89,107.9,107.0,72.1
155,Evansville,MVC,0.89,104.1,103.2,66.6
156,Massachusetts,A10,0.81,100.7,99.9,71.7
157,Northeastern,CAA,0.63,107.1,106.4,65.9
158,Jacksonville St. 15,OVC,0.58,105.4,104.8,63.5
159,Tennessee St.,OVC,0.53,100.3,99.7,66.8
160,Boston College,ACC,0.42,104.3,103.9,71.0
161,Lipscomb,ASun,0.32,107.1,106.8,74.1
162,Western Michigan,MAC,0.30,107.0,106.7,67.7
163,Grand Canyon,WAC,0.23,101.3,101.0,68.7
164,Missouri,SEC,0.23,101.3,101.1,67.8
165,North Dakota St.,Sum,0.16,104.5,104.4,66.5
166,Wright St.,Horz,0.11,106.4,106.3,68.9
167,Loyola Marymount,WCC,-0.02,103.2,103.2,67.1
168,Washington,P12,-0.03,107.7,107.7,70.8
169,Northern Iowa,MVC,-0.05,97.6,97.6,63.2
170,Penn,Ivy,-0.09,102.6,102.7,66.5
171,Texas St.,SB,-0.13,102.5,102.6,61.8
